用户名,国家,关注者数,关注中,所属组织数量,Star 数,Fork 数,PushEvent,PullRequestEvent,IssuesEvent,参与过的仓库数量
mark,"Buffalo, NY",87,26,1,147,23,1,0,0,9
ambethia,"St Petersburg, FL",275,98,5,2352,588,9,0,0,3
halfbyte,"Hamburg, Germany",202,9,2,806,211,0,0,0,0
cannikin,"San Diego, CA",172,6,4,385,181,57,25,18,6
anthonylewis,"Austin, TX",55,1,2,59,19,1,0,0,1
mcornick,"Reston, VA",31,6,0,905,51,90,22,0,6
itfische,San Francisco,28,0,0,21,4,0,0,0,0
ivoencarnacao,,14,0,0,0,0,0,0,0,0
mcg,Summerville SC,32,2,0,16,1,263,2,0,5
sco,"San Francisco, California",551,513,1,130,14,0,0,0,6
norio,Japan,114,79,0,194,97,0,0,0,64
